ROUTE_CD,ROUTE_NO,ROUTE_TP
69690109,43,9
69690110,45,9
69690111,47,9
69690112,48,9
69690113,100,2
69690115,300,2
69690116,2002,9
69690136,47-1,9
71000303,407,8
71000321,A3,8
93000039,655,7
93000077,B2,7
93000169,1000,7
93000179,1004,7
93000205,661,7
93000211,691,7
93000227,300,7
93000283,1005,7
93000318,B4,7
93000319,A2,7
